20
L01,Tin Hoc Co Ban,SANG,1500000,01/05/2025,01/07/2025,30/06/2025
L02,Lap Trinh C++,CHIEU,2000000,10/05/2025,10/08/2025,05/08/202
L03,Cau Truc Du Lieu Va Giai Thuat,TOI,1800000,15/05/2025,15/08/2025,14/08/2025
L04,Lap Trinh Web,SANG,2200000,20/05/2025,20/09/2025,18/09/2025 
L05,Lap Trinh Python,CHIEU,1900000,25/05/2025,25/08/2025,22/08/2025
L06,Lap Trinh Java,TOI,2100000,28/05/2025,28/08/2025,25/08/2025
L07,CSDL Co So Du Lieu,SANG,2000000,30/05/2025,30/08/2025,27/08/2025
L08,He Dieu Hanh,CHIEU,1800000,01/06/2025,01/09/2025,30/08/2025
L09,Mang May Tinh,TOI,1900000,03/06/2025,03/09/2025,31/08/2025
L10,Ky Thuat Lap Trinh,SANG,1850000,05/06/2025,05/09/2025,02/09/2025
L11,An Toan Thong Tin,CHIEU,2000000,07/06/2025,07/09/2025,04/09/2025
L12,Tri Tue Nhan Tao,TOI,2300000,09/06/2025,09/09/2025,06/09/2025
L13,Phan Mem Ung Dung,SANG,1750000,11/06/2025,11/09/2025,08/09/2025
L14,Lap Trinh Mobile,CHIEU,2250000,13/06/2025,13/09/2025,10/09/2025
L15,Do Hoa May Tinh,TOI,1950000,15/06/2025,15/09/2025,12/09/2025
L16,Lap Trinh Game,SANG,2400000,17/06/2025,17/09/2025,14/09/2025
L17,Phan Tich Thiet Ke HTTT,CHIEU,2100000,19/06/2025,19/09/2025,16/09/2025
L18,May Hoc,TOI,2500000,21/06/2025,21/09/2025,18/09/2025
L19,Khoa Hoc Du Lieu,SANG,2600000,23/06/2025,23/09/2025,20/09/2025
L20,Thu Thuat Lap Trinh,CHIEU,1900000,25/06/2025,25/09/2025,22/09/2025
